code	ccd_comp_id	anomer	config	sugar	ring	linkage	method	onebead_target	identity	status
3PB		beta	D	psico	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3PD	PSV	alpha	D	psico	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3PU	TTV	beta	D	psico	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3QA	G6D	alpha	D	quinovo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3QB	YYK	beta	D	quinovo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3RA	YYM	alpha	D	ribo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3RB	RIP	beta	D	ribo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3RD	RIB	alpha	D	ribo	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3RU	BDR	beta	D	ribo	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3TA		alpha	D	talo	pyranose	3	undecoded			UNSUPPORTED_ONEBEAD
3TB	SDY	beta	D	talo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3UA		alpha	D	ido	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
3UB		beta	D	ido	pyranuronic acid	3	undecoded			UNSUPPORTED_ONEBEAD
3VA	A2G	alpha	D	galacto	pyranose	3	ccd_name_index	NGA	alpha-D-GalNAcp	SUPPORTED_ONEBEAD
3VB	NGA	beta	D	galacto	pyranose	3	ccd_name_index	NGA	beta-D-GalNAcp	SUPPORTED_ONEBEAD
3WA	BM3	alpha	D	manno	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3WB	BM7	beta	D	manno	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3XA	XYS	alpha	D	xylo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3XB	HSZ	beta	D	xylo	pyranose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3XD		alpha	D	xylo	furanose	3	undecoded			UNSUPPORTED_ONEBEAD
3XU	XYZ	beta	D	xylo	furanose	3	ccd_name_index			UNSUPPORTED_ONEBEAD
3YA	NDG	alpha	D	gluco	pyranose	3	ccd_name_index	NAG	alpha-D-GlcNAcp	SUPPORTED_ONEBEAD
3YB	NAG	beta	D	gluco	pyranose	3	ccd_name_index	NAG	beta-D-GlcNAcp	SUPPORTED_ONEBEAD
3ZA	GCU	alpha	D	gluco	pyranuronic acid	3	ccd_name_index			UNSUPPORTED_ONEBEAD
